farm_id,crop_variety,genomic_drought_resistance,genomic_disease_resistance,avg_temperature,total_rainfall_mm,satellite_ndvi,disease_severity,yield_percentage
FARM_0960,IR-64 (Standard),0.35,0.62,28.5,747.5,0.726,0.17,93.2
FARM_0961,Swarna-Sub1 (Flood Tolerant),0.42,0.7,28.0,424.2,0.518,0.43,81.0
FARM_0962,Sahbhagi-Dhan (Drought Tolerant),0.86,0.22,36.8,441.1,0.8,0.18,73.5
FARM_0963,IR-64 (Standard),0.29,0.34,27.8,528.4,0.689,0.36,67.8
FARM_0964,IR-64 (Standard),0.33,0.42,31.6,487.8,0.661,0.37,79.5
FARM_0965,Swarna-Sub1 (Flood Tolerant),0.28,0.31,27.5,653.5,0.529,0.46,70.1
FARM_0966,Sahbhagi-Dhan (Drought Tolerant),0.75,0.24,31.6,456.7,0.703,0.14,94.0
FARM_0967,Sahbhagi-Dhan (Drought Tolerant),0.96,0.34,33.7,287.9,0.713,0.11,85.0
FARM_0968,Swarna-Sub1 (Flood Tolerant),0.11,0.52,29.7,770.9,0.554,0.71,69.2
FARM_0969,Swarna-Sub1 (Flood Tolerant),0.32,0.62,27.7,883.0,0.722,0.33,87.1
FARM_0970,Sahbhagi-Dhan (Drought Tolerant),0.81,0.66,29.5,186.5,0.463,0.21,76.8
FARM_0971,IR-64 (Standard),0.11,0.23,32.1,596.0,0.584,0.56,47.7
FARM_0972,Sahbhagi-Dhan (Drought Tolerant),0.86,0.46,33.5,649.4,0.588,0.45,83.4
FARM_0973,Swarna-Sub1 (Flood Tolerant),0.2,0.27,31.0,548.7,0.728,0.27,79.1
FARM_0974,IR-64 (Standard),0.24,0.46,29.7,814.8,0.668,0.21,89.8
FARM_0975,IR-64 (Standard),0.13,0.46,35.1,231.6,0.45,0.35,16.5
FARM_0976,Swarna-Sub1 (Flood Tolerant),0.17,0.5,27.5,387.3,0.725,0.46,72.2
FARM_0977,Swarna-Sub1 (Flood Tolerant),0.41,0.74,28.4,521.4,0.707,0.2,97.3
FARM_0978,Swarna-Sub1 (Flood Tolerant),0.3,0.68,37.2,684.0,0.64,0.32,77.3
FARM_0979,Sahbhagi-Dhan (Drought Tolerant),0.97,0.58,29.6,741.5,0.621,0.27,96.6
FARM_0980,Sahbhagi-Dhan (Drought Tolerant),0.81,0.73,32.6,258.8,0.622,0.12,87.4
FARM_0981,IR-64 (Standard),0.21,0.61,26.5,144.7,0.125,0.21,0.0
FARM_0982,Swarna-Sub1 (Flood Tolerant),0.24,0.69,34.0,655.9,0.559,0.46,84.5
FARM_0983,IR-64 (Standard),0.39,0.54,25.4,523.3,0.607,0.31,71.3
FARM_0984,IR-64 (Standard),0.32,0.52,25.1,532.9,0.821,0.08,94.1
FARM_0985,IR-64 (Standard),0.46,0.63,33.6,660.8,0.707,0.21,95.9
FARM_0986,IR-64 (Standard),0.34,0.21,28.6,338.0,0.75,0.29,77.5
FARM_0987,Swarna-Sub1 (Flood Tolerant),0.3,0.61,29.0,452.0,0.606,0.51,77.7
FARM_0988,IR-64 (Standard),0.41,0.76,31.7,604.7,0.656,0.3,93.8
FARM_0989,Swarna-Sub1 (Flood Tolerant),0.48,0.63,28.8,309.8,0.752,0.2,99.0
FARM_0990,Swarna-Sub1 (Flood Tolerant),0.24,0.22,25.8,391.5,0.801,0.08,99.3
FARM_0991,Sahbhagi-Dhan (Drought Tolerant),0.83,0.43,27.7,521.0,0.774,0.22,80.4
FARM_0992,Swarna-Sub1 (Flood Tolerant),0.35,0.69,26.1,604.7,0.65,0.26,91.8
FARM_0993,Sahbhagi-Dhan (Drought Tolerant),0.7,0.78,34.6,210.7,0.37,0.33,66.8
FARM_0994,Swarna-Sub1 (Flood Tolerant),0.5,0.42,34.8,633.4,0.702,0.1,88.7
FARM_0995,Swarna-Sub1 (Flood Tolerant),0.28,0.7,26.6,587.4,0.599,0.53,80.3
FARM_0996,Swarna-Sub1 (Flood Tolerant),0.13,0.72,31.7,331.5,0.555,0.28,87.4
FARM_0997,Sahbhagi-Dhan (Drought Tolerant),0.89,0.27,28.9,949.8,0.619,0.33,71.7
FARM_0998,Sahbhagi-Dhan (Drought Tolerant),0.8,0.71,35.8,309.9,0.571,0.48,74.2
FARM_0999,IR-64 (Standard),0.17,0.39,39.5,646.9,0.756,0.11,70.1
FARM_1000,Sahbhagi-Dhan (Drought Tolerant),0.7,0.56,32.9,555.5,0.699,0.38,86.5
FARM_1001,Sahbhagi-Dhan (Drought Tolerant),0.77,0.52,27.9,417.3,0.514,0.5,73.1
FARM_1002,Sahbhagi-Dhan (Drought Tolerant),0.87,0.6,25.4,518.0,0.814,0.07,100.0
FARM_1003,Sahbhagi-Dhan (Drought Tolerant),0.81,0.64,31.0,606.7,0.711,0.26,97.0
FARM_1004,IR-64 (Standard),0.31,0.46,29.4,1070.9,0.597,0.56,68.5
FARM_1005,Sahbhagi-Dhan (Drought Tolerant),0.71,0.73,24.2,210.3,0.423,0.16,68.1
FARM_1006,Swarna-Sub1 (Flood Tolerant),0.25,0.69,30.3,-42.2,0.1,0.25,0.0
FARM_1007,Swarna-Sub1 (Flood Tolerant),0.39,0.67,38.4,298.0,0.578,0.52,61.0
FARM_1008,Sahbhagi-Dhan (Drought Tolerant),0.76,0.47,33.2,494.0,0.672,0.21,90.3
FARM_1009,Sahbhagi-Dhan (Drought Tolerant),0.84,0.22,25.4,633.1,0.75,0.1,96.9
FARM_1010,Swarna-Sub1 (Flood Tolerant),0.38,0.5,29.9,519.3,0.653,0.38,78.2
FARM_1011,Swarna-Sub1 (Flood Tolerant),0.24,0.74,31.5,469.6,0.693,0.14,96.0
FARM_1012,IR-64 (Standard),0.38,0.31,32.0,807.3,0.534,0.36,68.9
FARM_1013,Swarna-Sub1 (Flood Tolerant),0.45,0.79,23.5,341.8,0.771,0.16,91.0
FARM_1014,Swarna-Sub1 (Flood Tolerant),0.29,0.68,29.5,832.5,0.589,0.43,93.9
FARM_1015,Sahbhagi-Dhan (Drought Tolerant),0.76,0.63,31.0,624.1,0.619,0.13,96.9
FARM_1016,Swarna-Sub1 (Flood Tolerant),0.2,0.61,29.3,799.9,0.634,0.43,86.5
FARM_1017,IR-64 (Standard),0.34,0.55,22.3,311.4,0.695,0.24,91.2
FARM_1018,Swarna-Sub1 (Flood Tolerant),0.45,0.63,29.4,429.6,0.638,0.24,92.0
FARM_1019,Sahbhagi-Dhan (Drought Tolerant),0.77,0.45,33.1,207.7,0.356,0.26,61.6
FARM_1020,Sahbhagi-Dhan (Drought Tolerant),0.98,0.71,27.7,560.0,0.714,0.34,98.9
FARM_1021,Swarna-Sub1 (Flood Tolerant),0.26,0.62,28.1,564.2,0.613,0.27,83.2
FARM_1022,Sahbhagi-Dhan (Drought Tolerant),0.83,0.66,35.6,901.7,0.746,0.07,88.8
FARM_1023,IR-64 (Standard),0.19,0.68,29.2,516.2,0.734,0.22,89.7
FARM_1024,IR-64 (Standard),0.43,0.26,30.4,196.5,0.236,0.36,16.4
FARM_1025,Swarna-Sub1 (Flood Tolerant),0.22,0.23,22.5,688.8,0.745,0.37,72.8
FARM_1026,Swarna-Sub1 (Flood Tolerant),0.38,0.68,25.8,317.3,0.813,0.08,93.5
FARM_1027,Swarna-Sub1 (Flood Tolerant),0.31,0.36,38.8,246.1,0.672,0.09,36.5
FARM_1028,Sahbhagi-Dhan (Drought Tolerant),0.7,0.55,36.6,640.4,0.679,0.3,76.2
FARM_1029,IR-64 (Standard),0.17,0.47,31.9,346.4,0.635,0.6,69.0
FARM_1030,IR-64 (Standard),0.39,0.21,20.9,380.2,0.678,0.32,72.5
FARM_1031,Sahbhagi-Dhan (Drought Tolerant),0.95,0.22,24.7,780.5,0.724,0.15,96.3
FARM_1032,IR-64 (Standard),0.15,0.7,24.6,602.7,0.434,0.78,75.0
FARM_1033,Swarna-Sub1 (Flood Tolerant),0.32,0.56,24.5,619.4,0.736,0.19,90.2
FARM_1034,Swarna-Sub1 (Flood Tolerant),0.38,0.51,28.5,224.7,0.451,0.16,49.3
FARM_1035,Swarna-Sub1 (Flood Tolerant),0.12,0.77,33.1,641.1,0.702,0.16,99.0
FARM_1036,IR-64 (Standard),0.13,0.3,27.5,444.5,0.623,0.46,73.6
FARM_1037,Swarna-Sub1 (Flood Tolerant),0.42,0.35,28.8,411.2,0.795,0.23,89.9
FARM_1038,Sahbhagi-Dhan (Drought Tolerant),0.89,0.65,28.8,581.7,0.751,0.29,88.9
FARM_1039,Sahbhagi-Dhan (Drought Tolerant),0.7,0.67,33.6,501.7,0.731,0.27,96.5
FARM_1040,IR-64 (Standard),0.35,0.44,33.6,207.3,0.437,0.13,30.1
FARM_1041,Sahbhagi-Dhan (Drought Tolerant),0.92,0.77,30.6,690.4,0.556,0.62,80.3
FARM_1042,Sahbhagi-Dhan (Drought Tolerant),0.77,0.76,35.1,709.5,0.729,0.36,90.7
FARM_1043,IR-64 (Standard),0.45,0.21,28.5,382.5,0.755,0.18,87.9
FARM_1044,Swarna-Sub1 (Flood Tolerant),0.13,0.3,37.0,621.8,0.55,0.29,70.8
FARM_1045,Swarna-Sub1 (Flood Tolerant),0.41,0.69,27.6,682.7,0.895,0.07,100.0
FARM_1046,Swarna-Sub1 (Flood Tolerant),0.3,0.4,22.1,126.3,0.1,0.66,0.0
FARM_1047,IR-64 (Standard),0.33,0.26,24.9,397.0,0.551,0.63,56.3
FARM_1048,Sahbhagi-Dhan (Drought Tolerant),0.78,0.67,24.6,64.5,0.1,0.32,44.9
FARM_1049,Swarna-Sub1 (Flood Tolerant),0.47,0.47,27.0,626.8,0.736,0.17,87.3
FARM_1050,Swarna-Sub1 (Flood Tolerant),0.12,0.5,34.5,589.3,0.767,0.06,100.0
FARM_1051,IR-64 (Standard),0.11,0.31,28.2,368.9,0.692,0.08,96.1
FARM_1052,Swarna-Sub1 (Flood Tolerant),0.17,0.6,24.6,470.0,0.642,0.24,93.8
FARM_1053,IR-64 (Standard),0.49,0.53,24.2,426.4,0.639,0.62,67.1
FARM_1054,Sahbhagi-Dhan (Drought Tolerant),0.86,0.32,29.8,91.9,0.1,0.06,66.5
FARM_1055,IR-64 (Standard),0.35,0.4,36.1,760.1,0.642,0.53,62.9
FARM_1056,IR-64 (Standard),0.12,0.56,30.9,551.0,0.727,0.22,90.2
FARM_1057,IR-64 (Standard),0.45,0.75,33.8,471.1,0.657,0.07,99.5
FARM_1058,IR-64 (Standard),0.43,0.75,31.6,472.4,0.438,0.75,84.2
FARM_1059,Sahbhagi-Dhan (Drought Tolerant),0.98,0.37,23.9,641.5,0.511,0.62,68.0
FARM_1060,Sahbhagi-Dhan (Drought Tolerant),0.93,0.64,32.4,182.6,0.329,0.29,86.9
FARM_1061,Swarna-Sub1 (Flood Tolerant),0.13,0.67,25.4,324.9,0.731,0.14,99.9
FARM_1062,Sahbhagi-Dhan (Drought Tolerant),0.97,0.69,28.3,542.6,0.783,0.13,100.0
FARM_1063,Sahbhagi-Dhan (Drought Tolerant),0.86,0.54,27.1,723.1,0.73,0.14,94.6
FARM_1064,Swarna-Sub1 (Flood Tolerant),0.14,0.21,29.6,18.0,0.1,0.23,0.0
FARM_1065,Sahbhagi-Dhan (Drought Tolerant),0.8,0.66,29.0,699.2,0.556,0.48,84.6
FARM_1066,IR-64 (Standard),0.21,0.26,28.5,358.4,0.733,0.11,94.4
FARM_1067,IR-64 (Standard),0.41,0.27,28.9,442.7,0.741,0.19,90.6
FARM_1068,Swarna-Sub1 (Flood Tolerant),0.32,0.56,31.1,506.8,0.747,0.1,98.6
FARM_1069,Swarna-Sub1 (Flood Tolerant),0.15,0.79,28.9,279.0,0.604,0.32,74.7
FARM_1070,Swarna-Sub1 (Flood Tolerant),0.31,0.35,29.3,251.9,0.524,0.3,53.6
FARM_1071,IR-64 (Standard),0.26,0.59,38.0,541.5,0.818,0.05,84.5
FARM_1072,Sahbhagi-Dhan (Drought Tolerant),0.93,0.38,34.2,879.0,0.681,0.3,80.2
FARM_1073,IR-64 (Standard),0.44,0.74,28.0,310.8,0.666,0.32,82.9
FARM_1074,Swarna-Sub1 (Flood Tolerant),0.1,0.56,30.4,309.2,0.56,0.64,73.9
FARM_1075,Sahbhagi-Dhan (Drought Tolerant),0.72,0.32,30.1,255.3,0.458,0.55,44.5
FARM_1076,Sahbhagi-Dhan (Drought Tolerant),0.91,0.36,30.3,454.9,0.783,0.06,91.2
FARM_1077,IR-64 (Standard),0.14,0.46,29.9,303.5,0.611,0.33,84.2
FARM_1078,Swarna-Sub1 (Flood Tolerant),0.22,0.27,30.3,307.8,0.657,0.46,68.9
FARM_1079,IR-64 (Standard),0.12,0.25,29.0,542.0,0.641,0.48,58.5
FARM_1080,Sahbhagi-Dhan (Drought Tolerant),0.73,0.61,27.5,211.1,0.398,0.22,65.1
FARM_1081,IR-64 (Standard),0.13,0.44,28.4,824.5,0.775,0.13,92.5
FARM_1082,IR-64 (Standard),0.38,0.64,23.1,264.8,0.725,0.13,77.5
FARM_1083,Swarna-Sub1 (Flood Tolerant),0.12,0.27,32.8,726.3,0.587,0.5,60.5
FARM_1084,Swarna-Sub1 (Flood Tolerant),0.12,0.57,31.9,894.6,0.702,0.24,93.4
FARM_1085,Sahbhagi-Dhan (Drought Tolerant),0.8,0.47,38.0,739.6,0.804,0.02,79.3
FARM_1086,IR-64 (Standard),0.46,0.23,25.2,714.8,0.699,0.62,46.3
FARM_1087,IR-64 (Standard),0.36,0.53,28.4,659.2,0.655,0.39,87.2
FARM_1088,IR-64 (Standard),0.41,0.25,34.7,542.8,0.596,0.43,75.0
FARM_1089,Sahbhagi-Dhan (Drought Tolerant),0.87,0.7,31.4,735.8,0.626,0.27,97.5
FARM_1090,Sahbhagi-Dhan (Drought Tolerant),0.71,0.58,36.5,447.9,0.697,0.21,86.9
FARM_1091,Swarna-Sub1 (Flood Tolerant),0.1,0.53,35.9,673.0,0.767,0.08,92.4
FARM_1092,Swarna-Sub1 (Flood Tolerant),0.19,0.28,20.3,721.6,0.752,0.19,88.8
FARM_1093,Swarna-Sub1 (Flood Tolerant),0.35,0.37,31.0,601.7,0.682,0.3,83.9
FARM_1094,IR-64 (Standard),0.25,0.5,31.1,446.1,0.777,0.07,100.0
FARM_1095,IR-64 (Standard),0.49,0.58,29.9,597.6,0.77,0.1,92.3
FARM_1096,Swarna-Sub1 (Flood Tolerant),0.11,0.31,28.3,426.1,0.68,0.32,75.0
FARM_1097,IR-64 (Standard),0.5,0.21,36.2,391.2,0.783,0.19,73.8
FARM_1098,Swarna-Sub1 (Flood Tolerant),0.35,0.41,29.9,657.5,0.631,0.31,88.7
FARM_1099,Sahbhagi-Dhan (Drought Tolerant),0.72,0.49,17.5,529.2,0.839,0.14,93.0
FARM_1100,Swarna-Sub1 (Flood Tolerant),0.12,0.31,28.2,655.2,0.688,0.45,65.4
FARM_1101,Sahbhagi-Dhan (Drought Tolerant),0.76,0.5,38.3,530.5,0.81,0.1,68.8
FARM_1102,IR-64 (Standard),0.47,0.4,25.5,601.9,0.746,0.03,94.1
FARM_1103,Swarna-Sub1 (Flood Tolerant),0.24,0.47,34.9,779.7,0.603,0.47,76.3
FARM_1104,IR-64 (Standard),0.36,0.41,34.2,467.6,0.652,0.28,74.8
FARM_1105,Sahbhagi-Dhan (Drought Tolerant),0.93,0.58,29.0,419.3,0.691,0.17,88.5
FARM_1106,Sahbhagi-Dhan (Drought Tolerant),0.83,0.23,30.8,586.0,0.59,0.49,62.3
FARM_1107,Sahbhagi-Dhan (Drought Tolerant),0.89,0.3,29.7,-15.8,0.1,0.33,40.9
FARM_1108,IR-64 (Standard),0.38,0.46,27.9,641.8,0.699,0.21,83.0
FARM_1109,IR-64 (Standard),0.17,0.41,27.3,327.6,0.555,0.62,59.8
FARM_1110,IR-64 (Standard),0.16,0.43,35.7,835.2,0.728,0.28,79.4
FARM_1111,IR-64 (Standard),0.28,0.68,29.3,657.9,0.785,0.13,97.6
FARM_1112,Sahbhagi-Dhan (Drought Tolerant),0.99,0.73,26.9,683.2,0.762,0.14,99.0
FARM_1113,Sahbhagi-Dhan (Drought Tolerant),0.92,0.35,32.2,687.9,0.585,0.53,65.2
FARM_1114,Swarna-Sub1 (Flood Tolerant),0.13,0.7,31.7,408.2,0.67,0.28,98.2
FARM_1115,Swarna-Sub1 (Flood Tolerant),0.49,0.48,24.0,448.0,0.768,0.12,91.4
FARM_1116,IR-64 (Standard),0.11,0.36,27.4,161.6,0.272,0.29,0.0
FARM_1117,Sahbhagi-Dhan (Drought Tolerant),0.88,0.79,23.2,798.9,0.659,0.52,80.2
FARM_1118,Sahbhagi-Dhan (Drought Tolerant),0.71,0.69,40.2,242.4,0.479,0.16,55.2
FARM_1119,Sahbhagi-Dhan (Drought Tolerant),0.76,0.8,28.5,497.0,0.781,0.04,98.8
FARM_1120,Swarna-Sub1 (Flood Tolerant),0.16,0.3,27.3,745.0,0.645,0.28,73.3
FARM_1121,Swarna-Sub1 (Flood Tolerant),0.42,0.29,28.0,806.8,0.613,0.29,81.0
FARM_1122,Sahbhagi-Dhan (Drought Tolerant),0.92,0.5,27.0,449.8,0.699,0.4,84.7
FARM_1123,Sahbhagi-Dhan (Drought Tolerant),0.81,0.58,29.3,158.8,0.269,0.31,61.9
FARM_1124,Sahbhagi-Dhan (Drought Tolerant),0.86,0.3,34.9,546.2,0.62,0.43,67.1
FARM_1125,Swarna-Sub1 (Flood Tolerant),0.24,0.72,30.4,566.6,0.686,0.23,87.9
FARM_1126,Sahbhagi-Dhan (Drought Tolerant),0.75,0.52,24.4,584.8,0.636,0.36,83.8
FARM_1127,Sahbhagi-Dhan (Drought Tolerant),0.99,0.45,25.4,438.9,0.563,0.37,79.6
FARM_1128,IR-64 (Standard),0.43,0.56,30.7,472.4,0.739,0.29,99.4
FARM_1129,IR-64 (Standard),0.22,0.58,26.7,361.2,0.597,0.45,76.3
FARM_1130,Swarna-Sub1 (Flood Tolerant),0.5,0.23,29.2,531.7,0.619,0.42,69.1
FARM_1131,Sahbhagi-Dhan (Drought Tolerant),0.9,0.8,40.6,660.4,0.656,0.4,61.4
FARM_1132,Sahbhagi-Dhan (Drought Tolerant),0.89,0.42,26.0,552.6,0.581,0.29,79.6
FARM_1133,IR-64 (Standard),0.28,0.24,24.2,491.2,0.64,0.4,63.8
FARM_1134,Swarna-Sub1 (Flood Tolerant),0.28,0.71,27.0,724.8,0.794,0.03,100.0
FARM_1135,IR-64 (Standard),0.28,0.8,22.8,551.3,0.658,0.29,99.2
FARM_1136,IR-64 (Standard),0.2,0.69,35.1,506.2,0.804,0.26,95.7
FARM_1137,IR-64 (Standard),0.39,0.71,25.4,515.5,0.64,0.25,90.5
FARM_1138,IR-64 (Standard),0.39,0.58,26.1,257.9,0.649,0.09,73.1
FARM_1139,Sahbhagi-Dhan (Drought Tolerant),0.92,0.75,24.7,282.0,0.489,0.5,92.5
FARM_1140,Sahbhagi-Dhan (Drought Tolerant),0.87,0.22,23.2,475.2,0.709,0.26,68.2
FARM_1141,IR-64 (Standard),0.23,0.66,29.8,352.5,0.612,0.33,91.2
FARM_1142,Swarna-Sub1 (Flood Tolerant),0.39,0.6,27.0,491.0,0.755,0.23,95.4
FARM_1143,Swarna-Sub1 (Flood Tolerant),0.15,0.23,22.8,671.3,0.656,0.4,72.3
FARM_1144,Swarna-Sub1 (Flood Tolerant),0.17,0.53,28.5,641.1,0.655,0.16,88.4
FARM_1145,Swarna-Sub1 (Flood Tolerant),0.23,0.51,31.5,578.5,0.686,0.3,80.9
FARM_1146,IR-64 (Standard),0.34,0.61,28.2,668.9,0.76,0.03,100.0
FARM_1147,Sahbhagi-Dhan (Drought Tolerant),0.91,0.25,32.4,706.1,0.698,0.23,82.6
FARM_1148,Swarna-Sub1 (Flood Tolerant),0.26,0.68,36.8,698.8,0.702,0.04,94.2
FARM_1149,IR-64 (Standard),0.13,0.28,33.3,693.9,0.746,0.31,82.1
FARM_1150,Swarna-Sub1 (Flood Tolerant),0.25,0.45,30.9,260.2,0.575,0.11,61.5
FARM_1151,Swarna-Sub1 (Flood Tolerant),0.38,0.73,33.2,121.8,0.1,0.42,0.0
FARM_1152,IR-64 (Standard),0.37,0.54,38.9,344.0,0.731,0.06,71.1
FARM_1153,Sahbhagi-Dhan (Drought Tolerant),0.76,0.43,24.2,408.6,0.674,0.28,78.7
FARM_1154,Sahbhagi-Dhan (Drought Tolerant),0.79,0.23,32.5,685.7,0.778,0.04,94.5
FARM_1155,IR-64 (Standard),0.4,0.6,26.0,480.7,0.634,0.4,85.4
FARM_1156,Sahbhagi-Dhan (Drought Tolerant),0.72,0.79,31.0,404.0,0.69,0.45,89.1
FARM_1157,IR-64 (Standard),0.13,0.75,24.7,532.7,0.731,0.16,90.1
FARM_1158,IR-64 (Standard),0.1,0.63,33.0,607.2,0.753,0.32,91.2
FARM_1159,IR-64 (Standard),0.27,0.26,31.1,655.1,0.696,0.08,92.4
FARM_1160,Sahbhagi-Dhan (Drought Tolerant),0.71,0.34,36.0,417.4,0.815,0.11,84.6
FARM_1161,IR-64 (Standard),0.36,0.31,28.9,308.6,0.657,0.48,63.2
FARM_1162,Swarna-Sub1 (Flood Tolerant),0.22,0.41,28.8,344.3,0.752,0.26,86.3
FARM_1163,Sahbhagi-Dhan (Drought Tolerant),0.92,0.34,28.8,524.0,0.786,0.3,78.9
FARM_1164,Sahbhagi-Dhan (Drought Tolerant),0.82,0.35,39.8,289.5,0.576,0.16,60.9
FARM_1165,Sahbhagi-Dhan (Drought Tolerant),0.76,0.57,32.5,689.7,0.581,0.29,81.9
FARM_1166,Sahbhagi-Dhan (Drought Tolerant),0.85,0.39,35.4,291.5,0.707,0.17,83.8
FARM_1167,Swarna-Sub1 (Flood Tolerant),0.33,0.61,32.9,188.5,0.166,0.39,11.3
FARM_1168,Sahbhagi-Dhan (Drought Tolerant),0.83,0.77,33.5,531.1,0.533,0.42,93.2
FARM_1169,Sahbhagi-Dhan (Drought Tolerant),0.8,0.58,24.1,444.8,0.773,0.04,100.0
FARM_1170,IR-64 (Standard),0.29,0.65,27.8,594.2,0.672,0.26,87.6
FARM_1171,Sahbhagi-Dhan (Drought Tolerant),0.72,0.65,27.5,400.2,0.639,0.17,86.6
FARM_1172,Swarna-Sub1 (Flood Tolerant),0.14,0.4,30.2,580.6,0.682,0.22,89.7
FARM_1173,Swarna-Sub1 (Flood Tolerant),0.48,0.21,29.6,701.4,0.618,0.55,57.4
FARM_1174,Swarna-Sub1 (Flood Tolerant),0.49,0.23,23.6,375.3,0.651,0.43,60.0
FARM_1175,Swarna-Sub1 (Flood Tolerant),0.32,0.37,30.2,602.5,0.725,0.28,85.9
FARM_1176,Sahbhagi-Dhan (Drought Tolerant),0.97,0.61,22.0,859.2,0.634,0.36,72.1
FARM_1177,Sahbhagi-Dhan (Drought Tolerant),0.77,0.74,33.1,654.3,0.838,0.05,93.7
FARM_1178,Swarna-Sub1 (Flood Tolerant),0.11,0.78,30.4,341.4,0.696,0.49,97.2
FARM_1179,Swarna-Sub1 (Flood Tolerant),0.12,0.22,35.0,567.0,0.688,0.3,90.0
FARM_1180,Sahbhagi-Dhan (Drought Tolerant),0.73,0.79,30.9,239.7,0.54,0.09,86.5
FARM_1181,Swarna-Sub1 (Flood Tolerant),0.12,0.39,28.2,268.5,0.646,0.12,63.6
FARM_1182,IR-64 (Standard),0.48,0.71,23.7,798.4,0.524,0.53,86.1
FARM_1183,Swarna-Sub1 (Flood Tolerant),0.16,0.31,28.4,581.6,0.634,0.37,64.0
FARM_1184,Swarna-Sub1 (Flood Tolerant),0.22,0.24,26.8,807.7,0.681,0.37,69.3
FARM_1185,IR-64 (Standard),0.43,0.43,31.5,585.2,0.721,0.24,78.0
FARM_1186,IR-64 (Standard),0.19,0.72,28.3,390.9,0.657,0.42,93.6
FARM_1187,Sahbhagi-Dhan (Drought Tolerant),0.74,0.33,32.4,508.6,0.631,0.22,89.2
FARM_1188,Sahbhagi-Dhan (Drought Tolerant),0.78,0.29,35.4,553.6,0.757,0.2,87.2
FARM_1189,IR-64 (Standard),0.21,0.75,24.3,942.7,0.765,0.02,100.0
FARM_1190,IR-64 (Standard),0.19,0.76,30.0,640.6,0.58,0.52,84.9
FARM_1191,Sahbhagi-Dhan (Drought Tolerant),0.85,0.21,29.8,351.3,0.65,0.28,77.3
FARM_1192,Swarna-Sub1 (Flood Tolerant),0.3,0.64,31.3,461.3,0.857,0.05,94.9
FARM_1193,IR-64 (Standard),0.49,0.39,32.7,594.6,0.646,0.22,86.7
FARM_1194,Sahbhagi-Dhan (Drought Tolerant),0.79,0.42,36.4,282.4,0.577,0.4,66.2
FARM_1195,Swarna-Sub1 (Flood Tolerant),0.21,0.48,25.6,496.4,0.602,0.33,84.7
FARM_1196,IR-64 (Standard),0.25,0.46,23.7,459.0,0.844,0.01,93.9
FARM_1197,Swarna-Sub1 (Flood Tolerant),0.29,0.51,30.8,597.2,0.769,0.09,95.5
FARM_1198,Sahbhagi-Dhan (Drought Tolerant),0.79,0.55,31.8,480.2,0.628,0.29,86.8
FARM_1199,IR-64 (Standard),0.17,0.48,32.9,220.4,0.331,0.52,7.7
FARM_1200,Swarna-Sub1 (Flood Tolerant),0.24,0.62,27.0,490.9,0.561,0.49,76.6
FARM_1201,IR-64 (Standard),0.39,0.63,23.7,653.6,0.643,0.5,78.6
FARM_1202,Swarna-Sub1 (Flood Tolerant),0.49,0.46,34.9,789.0,0.753,0.37,75.9
FARM_1203,Sahbhagi-Dhan (Drought Tolerant),0.94,0.29,32.0,692.4,0.681,0.13,100.0
FARM_1204,Sahbhagi-Dhan (Drought Tolerant),0.82,0.58,28.5,180.9,0.462,0.03,82.9
FARM_1205,IR-64 (Standard),0.19,0.66,21.4,232.7,0.599,0.1,42.0
FARM_1206,Swarna-Sub1 (Flood Tolerant),0.11,0.58,27.3,288.6,0.609,0.34,77.8
FARM_1207,IR-64 (Standard),0.34,0.55,32.8,801.1,0.766,0.17,99.9
FARM_1208,IR-64 (Standard),0.37,0.34,31.7,599.0,0.669,0.36,84.4
FARM_1209,Swarna-Sub1 (Flood Tolerant),0.34,0.59,24.5,1027.9,0.743,0.14,96.4
FARM_1210,Swarna-Sub1 (Flood Tolerant),0.13,0.4,32.5,756.9,0.611,0.41,71.2
FARM_1211,Swarna-Sub1 (Flood Tolerant),0.13,0.75,29.6,519.1,0.659,0.44,95.1
FARM_1212,Sahbhagi-Dhan (Drought Tolerant),0.93,0.59,35.1,408.9,0.701,0.18,93.5
FARM_1213,IR-64 (Standard),0.22,0.37,27.2,574.8,0.742,0.27,81.2
FARM_1214,IR-64 (Standard),0.41,0.48,27.5,668.2,0.712,0.11,97.5
FARM_1215,Sahbhagi-Dhan (Drought Tolerant),0.7,0.71,30.5,742.2,0.849,0.14,92.7
FARM_1216,Swarna-Sub1 (Flood Tolerant),0.12,0.4,28.3,442.2,0.647,0.24,77.9
FARM_1217,Sahbhagi-Dhan (Drought Tolerant),0.88,0.52,26.5,938.4,0.896,0.11,100.0
FARM_1218,Sahbhagi-Dhan (Drought Tolerant),0.82,0.61,37.4,491.1,0.677,0.26,80.1
FARM_1219,Sahbhagi-Dhan (Drought Tolerant),0.96,0.65,35.7,736.6,0.751,0.22,93.1
FARM_1220,IR-64 (Standard),0.43,0.3,26.2,567.3,0.809,0.1,83.8
FARM_1221,Sahbhagi-Dhan (Drought Tolerant),0.79,0.54,30.9,429.1,0.799,0.03,100.0
FARM_1222,IR-64 (Standard),0.38,0.75,23.9,107.3,0.172,0.11,0.0
FARM_1223,IR-64 (Standard),0.24,0.78,36.8,252.2,0.55,0.15,49.4
FARM_1224,IR-64 (Standard),0.22,0.59,33.0,735.3,0.665,0.18,90.8
